mep,109166,110894,157271,157321,157420,160818,160956,162046,162314,164096,164186,168864
96779,1,1,X,1,X,-1,1,0,1,-1,-1,-1
96780,1,-1,1,1,-1,X,1,1,-1,-1,-1,X
96787,0,-1,1,1,-1,-1,1,1,1,-1,-1,-1
96791,1,1,X,X,X,-1,1,X,1,1,-1,-1
96796,0,-1,1,1,-1,1,-1,X,0,X,X,-1
96801,0,-1,1,1,-1,X,X,1,0,1,-1,-1
96808,-1,-1,1,1,-1,-1,-1,1,1,X,X,-1
96809,1,-1,1,0,0,,,,,,,
96810,1,-1,1,1,-1,1,1,X,1,-1,1,-1
96811,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
96812,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
96820,1,1,-1,-1,1,-1,1,-1,1,1,-1,
96826,-1,-1,1,X,-1,1,-1,X,1,0,-1,-1
96829,-1,-1,1,1,-1,X,X,X,1,0,-1,-1
96830,-1,-1,1,1,-1,1,-1,1,1,0,-1,-1
96833,1,1,-1,-1,1,-1,1,X,1,-1,-1,1
96837,1,1,-1,-1,1,X,X,X,1,-1,-1,X
96842,1,1,,,,,,,,,,
96844,1,1,,,,,,,,,,
96852,1,1,-1,-1,1,-1,1,X,1,1,-1,1
96867,1,-1,1,1,-1,-1,1,1,1,-1,-1,
96868,1,1,-1,-1,1,-1,1,X,1,1,-1,1
96880,1,1,X,X,X,-1,1,X,1,1,-1,1
96885,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
96891,0,1,0,1,X,-1,1,X,1,-1,1,-1
96892,,,,,,,,,,,,
96899,1,-1,1,1,-1,-1,1,1,1,-1,-1,
96903,1,-1,1,1,-1,-1,1,X,1,-1,-1,
96911,1,1,,,,,,,,,,
96922,1,-1,-1,-1,0,-1,1,-1,1,-1,-1,-1
96932,1,1,-1,-1,1,-1,1,-1,1,-1,-1,X
96933,0,-1,1,1,-1,-1,1,1,1,X,X,-1
96934,1,-1,1,1,-1,X,X,X,1,-1,-1,-1
