mep,4995,5004,5276,4096,3939,3708,3082,2636,2340,2189,220
840,-1,1,1,1,1,1,1,-1,1,1,1
988,1,-1,-1,-1,0,1,1,-1,-1,1,1
997,1,0,-1,-1,-1,-1,0,-1,-1,-1,0
1023,1,1,-1,-1,0,-1,1,0,-1,0,-1
1037,0,-1,1,-1,0,1,1,-1,-1,0,0
1038,1,-1,1,1,-1,1,1,-1,-1,1,1
1055,0,0,-1,-1,-1,1,1,0,-1,0,1
1073,-1,-1,0,-1,-1,1,1,-1,-1,1,0
1122,1,1,1,1,-1,1,1,-1,-1,0,0
1129,-1,1,1,1,1,1,1,1,1,1,1
1164,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1183,0,0,1,1,0,1,1,0,0,0,1
1186,1,-1,-1,-1,-1,1,1,-1,-1,-1,0
1191,1,-1,-1,-1,-1,1,1,-1,-1,0,0
1202,-1,1,0,1,0,0,1,1,,,
1204,1,-1,1,-1,-1,1,1,-1,-1,0,1
1253,1,-1,-1,-1,-1,1,1,0,-1,1,1
1263,1,-1,1,-1,-1,0,1,-1,-1,1,1
1289,,,,,,,,,0,1,1
1309,-1,1,1,1,1,1,1,1,1,1,1
1318,1,-1,-1,-1,-1,1,1,-1,-1,-1,0
1394,1,1,1,0,1,1,1,-1,1,1,1
1403,-1,1,1,1,1,1,1,1,1,1,1
1405,-1,1,1,1,1,1,1,0,1,1,1
1407,-1,1,1,0,1,1,1,0,1,1,1
1419,1,-1,-1,-1,0,1,1,-1,-1,-1,1
1431,1,-1,-1,-1,0,1,1,-1,-1,1,1
1665,0,0,1,-1,1,1,1,-1,0,0,-1
1746,0,0,-1,1,-1,1,1,0,0,0,-1
1759,,,,,,,,,,,1
1832,1,-1,1,1,-1,1,1,-1,-1,1,0
1852,1,-1,-1,-1,-1,1,1,-1,-1,0,0
1854,-1,1,1,1,1,1,1,1,0,0,1
1873,,,,,,,,,0,0,1
1892,1,0,1,1,-1,1,1,-1,-1,1,1
1902,-1,1,0,1,1,1,0,0,0,0,1
1906,-1,1,1,1,1,1,1,1,0,1,1
1907,-1,1,1,0,0,1,1,1,1,1,1
1909,-1,1,0,1,0,1,1,0,1,1,1
1911,0,0,0,0,0,0,0,0,1,1,1
1913,-1,1,1,1,1,1,1,0,1,1,0
1914,-1,1,1,1,1,1,0,1,1,1,1
1917,1,-1,-1,-1,0,1,1,-1,-1,-1,0
1922,1,-1,-1,-1,-1,1,1,-1,-1,1,1
1927,1,0,1,1,0,1,1,-1,-1,1,1
1928,1,-1,-1,-1,0,1,1,-1,-1,-1,1
1929,1,-1,-1,-1,-1,1,1,-1,-1,1,0
1930,1,-1,-1,-1,0,1,1,-1,-1,0,1
1933,-1,1,1,1,1,1,1,1,1,1,1
1934,-1,1,1,1,1,1,0,1,1,1,1
1935,-1,1,1,1,0,1,1,1,1,1,1
1941,1,-1,0,-1,-1,1,1,-1,-1,1,1
1945,1,-1,-1,-1,0,1,1,0,0,0,1
1946,1,1,0,1,1,1,0,-1,1,0,1
1956,1,1,-1,-1,0,1,1,-1,0,0,-1
1965,1,-1,1,1,-1,1,1,-1,1,1,
1985,-1,1,1,1,0,1,1,1,1,0,1
1992,,,,,,,,,-1,1,1
1993,1,-1,1,-1,-1,1,1,-1,0,0,1
2002,0,-1,1,-1,-1,1,1,-1,-1,0,1
2025,1,-1,-1,-1,-1,1,1,-1,-1,1,1
2037,1,-1,0,-1,0,1,1,0,-1,-1,1
2054,,,,,,,,,,,1
2073,-1,1,1,1,0,1,1,1,1,0,1
2081,-1,1,1,1,1,1,1,1,1,1,1
2097,1,-1,0,-1,-1,1,0,-1,-1,-1,1
2109,-1,1,1,0,0,0,1,0,0,0,1
2125,-1,1,1,1,1,1,1,-1,1,1,1
2155,1,1,1,1,1,1,1,-1,1,1,1
2173,-1,1,1,1,1,1,1,0,1,0,1
2212,0,0,-1,-1,-1,-1,-1,0,-1,0,0
2224,1,-1,-1,-1,-1,1,1,-1,-1,1,-1
2229,1,-1,1,-1,-1,1,1,-1,-1,1,1
2247,1,-1,-1,-1,0,1,1,-1,1,1,1
2278,1,-1,-1,-1,-1,1,1,-1,-1,1,1
2295,0,0,1,1,0,0,1,1,1,1,1
2307,1,-1,1,-1,0,1,1,-1,-1,1,
2315,0,1,1,1,1,1,1,,,,
2319,-1,1,0,1,0,1,1,1,1,1,1
2323,1,-1,-1,-1,-1,1,1,-1,0,1,-1
2327,-1,1,1,1,1,1,1,1,1,0,1
2338,-1,1,1,1,1,1,1,0,1,0,1
2341,1,-1,-1,-1,-1,1,1,-1,-1,1,1
4238,-1,1,1,1,1,1,1,1,1,1,0
4243,,,,,,,,,,,1
4246,1,-1,1,1,-1,1,1,-1,-1,1,0
4253,1,1,1,1,1,1,1,-1,0,0,1
4260,1,-1,-1,-1,-1,1,0,-1,0,0,0
4262,0,0,1,1,0,1,1,1,1,1,1
4265,-1,1,1,1,1,1,1,0,1,0,1
4267,-1,1,1,1,1,1,1,0,0,1,1
4270,-1,1,1,1,1,1,1,-1,1,1,1
4271,1,-1,-1,-1,0,1,1,-1,-1,1,1
4274,-1,1,1,1,1,1,1,-1,1,1,1
4275,1,-1,-1,-1,-1,1,1,-1,-1,1,1
4282,1,-1,1,-1,-1,1,1,-1,-1,-1,0
4283,,,,,,,,-1,0,-1,0
4289,1,-1,-1,-1,1,1,1,-1,-1,0,0
4294,1,1,0,0,1,1,1,1,1,1,1
4308,1,-1,0,-1,-1,1,1,-1,-1,0,1
4318,0,0,0,1,0,1,0,0,1,0,1
4319,1,-1,0,-1,-1,1,1,-1,-1,0,1
4326,1,-1,-1,0,-1,1,1,-1,-1,0,1
4328,-1,1,1,1,1,1,1,1,1,1,1
4335,-1,1,1,1,1,0,1,0,0,1,1
4337,0,1,1,1,1,1,1,1,1,1,1
4342,0,0,-1,-1,-1,1,1,-1,-1,1,1
4345,1,-1,1,-1,-1,1,1,-1,-1,1,0
4346,-1,1,1,1,1,1,1,1,1,1,1
4347,1,-1,1,0,-1,1,1,-1,-1,1,1
4348,-1,1,-1,1,1,1,1,1,1,1,1
4385,0,0,1,1,1,1,1,1,1,1,1
4393,,,,,0,0,1,-1,-1,1,1
4398,0,0,0,0,1,1,1,0,1,1,1
